x,y,phi,kappa_end,vw_x,vw_y,v,xtol,ytol,phi_tol,kappa_tol,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
-95,-20,5.7595865316,0,0,0,5,0.0659172536,-0.0082264936,-0.0500093801,0.0140430728,0.0031491554,-6.21800801058367E-05,0.000000398,-8.34968682517212E-10,0.0013686816,-5.110176047957E-06,-1.26229304616707E-07,5.88052822802508E-10,132.7326176778,19.880398595,98.5058069311
-95,-95,0.5235987756,0,0,0,5,0.007782568,0.0065085616,0.0492976851,-0.0140323601,-0.004149581,0.0001054463,-7.95198553275964E-07,1.84729101404192E-09,0.003238947,-0.0001000742,8.33060280511543E-07,-0.000000002,66.1222246665,62.3096738581,141.9512472466
-90,-90,1.5707963268,0,0,0,5,0.0447133916,0.04471076,0.0447360645,-0.0141421216,-0.004677668,0.000138581,-0.000001369,4.41335356977176E-09,0.0047337612,-0.0002066058,2.43158042587794E-06,-8.45862725523588E-09,86.3334553998,28.7486665295,99.790479458
-100,-20,5.7595865316,0,0,0,5,0.0091639441,0.0026353922,-0.0498003005,0.0140139501,0.003299922,-6.9201431529307E-05,4.87518026724874E-07,-1.12279385450017E-09,-0.0029678772,9.15275316400823E-05,-7.85886543571893E-07,0.000000002,108.3858945178,8.8122059888,132.7481949779
-95,-20,5.235987756,0,0,0,5,0.0281299169,0.0158866097,-0.050213134,0.0140906484,0.0030961133,-6.02919363688547E-05,3.86665032766342E-07,-8.21115767671671E-10,0.0044512805,-0.0001214964,9.44717556279409E-07,-2.2209747104688E-09,153.6601146469,13.4653178026,53.5228124406
-90,-90,1.0471975512,0,0,0,5,0.0437150464,0.0434809031,0.050889602,-0.0141409736,-0.0045074239,0.0001271182,-1.15145658854833E-06,3.26364626420737E-09,0.0039680388,-0.000144011,1.41094054413618E-06,-4.08755371014404E-09,71.9858125384,45.1121280088,120.274804713
-95,-20,4.7123889804,0,0,0,5,0.0438244309,0.0430384935,-0.0446887099,0.0141376235,0.0030325111,-0.000057888,3.65242044334262E-07,-7.65269994410661E-10,0.0034848754,-0.000101497,0.000000808,-1.91098745399023E-09,151.674108058,11.8163650909,45.4196301236
-90,-90,0.5235987756,0,0,0,5,0.0078280436,0.0063664524,0.049222995,-0.0140329216,-0.004111931,0.0001036047,-7.77919314454652E-07,1.80262377270836E-09,0.0032965823,-0.0001009685,8.37602961244286E-07,-2.05699540423488E-09,66.6250218895,54.4108854839,142.2549136525
-100,-20,5.235987756,0,0,0,5,0.0090643388,0.0033414602,-0.0476809677,0.0139225714,0.0031154532,-6.10557126375714E-05,3.91648333043E-07,-8.22537487870749E-10,0.0039135178,-0.000103927,7.95439805990379E-07,-1.85390777527111E-09,152.4355542005,18.4249842282,56.0571952639
-95,-20,4.1887902048,0,0,0,5,0.0079190591,-0.0057109059,-0.04905089,0.0139033047,-0.0029545237,5.53453864750029E-05,-3.46209335107071E-07,7.17756979979203E-10,0.003896376,-0.0001006084,7.54521735866344E-07,-1.72931412093577E-09,143.0970104717,0.9952480402,56.8702844697
-100,-20,4.7123889804,0,0,0,5,0.040476744,0.0365860415,-0.0445065962,0.0141206358,0.0030451755,-5.8367598133432E-05,3.69613887961858E-07,-7.77109642924338E-10,0.0035378759,-0.0001024298,8.14319645577903E-07,-1.92742193291228E-09,150.5381639229,16.8176182696,46.0343109716
-95,-100,5.7595865316,0,0,0,5,0.0094427672,0.0023715246,-0.0499119257,0.0140241126,-0.0037220692,8.65376355822618E-05,-6.4345561932261E-07,1.54857110254205E-09,-0.0017206146,4.72293003873446E-05,-0.000000316,5.55396796973402E-10,91.4451646015,1.2574453482,153.263435663
-95,-20,3.6651914292,0,0,0,5,0.0447228994,-0.0441247918,-0.0509206753,0.0142129209,-0.0031655224,6.33346440047533E-05,-4.23439878568724E-07,9.38945168182863E-10,0.0036347635,-0.000109967,9.09699559706021E-07,-2.2357736839817E-09,128.9536060183,16.6643070323,43.0358293425
-100,-20,4.1887902048,0,0,0,5,0.0447285593,-0.0447453911,-0.0524580774,0.0142126704,-0.0031032256,6.09624463698259E-05,-4.01645013914595E-07,8.77811570657051E-10,0.0045740956,-0.0001256018,9.80698952895943E-07,-2.31096179984722E-09,139.751372861,11.254615706,52.2899673703
-95,-20,3.1415926536,0,0,0,5,0.0406508864,-0.0342691005,-0.0439351065,0.0140235562,-0.0031551693,6.28845507067754E-05,-4.16525826782036E-07,9.23297134753208E-10,0.0011106224,-4.08854752987866E-05,3.73330075190599E-07,-0.000000001,167.8214416443,0.9596427182,16.456649444
-100,-20,3.6651914292,0,0,0,5,0.0280726409,-0.0171790784,-0.0494562618,0.0139882227,-0.0032342885,6.61984469317841E-05,-4.53578066273322E-07,0.000000001,0.0034164537,-9.75133439800922E-05,7.88418611982306E-07,-1.92695704855998E-09,128.5326813633,18.9753603072,46.030719781
-95,-20,2.617993878,0,0,0,5,0.009741814,-0.0028628122,0.0138749319,-0.00827879,-0.0031138906,6.05289037379636E-05,-3.75627184691133E-07,7.5773476150827E-10,-0.000400083,9.82983397885099E-06,-7.38152479103808E-08,1.73509532368837E-10,102.8554515167,65.4625975102,17.9385106982
-95,-100,5.235987756,0,0,0,5,0.0447201163,0.0447447721,-0.0509386548,0.0142123412,-0.0036738385,8.53201871787654E-05,-6.5968684240369E-07,1.70908814377184E-09,0.0056122603,-0.0001890867,1.81147826918567E-06,-5.23748184354475E-09,130.3554881452,36.6835122288,45.9388746091
-100,-20,3.1415926536,0,0,0,5,0.0090360131,-0.0033891694,-0.0326006466,0.0111256489,-0.0030733349,5.95917021099504E-05,-3.804989924117E-07,8.08297077733647E-10,0.0006958644,-1.73455516623826E-05,1.31454474670453E-07,-3.109222674821E-10,149.530321899,28.3958201754,12.735246444
-90,-95,5.7595865316,0,0,0,5,0.0408542701,0.02243258,-0.0523405481,0.0141359236,-0.0036882587,0.000085448,-6.498143549919E-07,1.63824083032947E-09,-0.0031966236,0.0001250675,-0.000001266,3.733760884073E-09,110.142429473,3.6182594632,116.5789653496
-95,-100,4.7123889804,0,0,0,5,0.0092894797,0.002441403,-0.0405121008,0.0137432315,-0.0038903979,9.56159346457124E-05,-7.76052032112247E-07,2.06282192244888E-09,0.004403509,-0.0001400383,1.30713353789562E-06,-3.74847819003094E-09,108.0644352147,46.7155804094,46.6611660166
-95,-20,2.0943951024,0,0,0,5,0.0288318723,-0.0073004236,0.0509127014,-0.0139853113,-0.0033165625,6.92011524664392E-05,-4.75319445989961E-07,1.07754063466192E-09,-0.0030789698,9.40556922599071E-05,-0.000000797,0.000000002,131.5056141493,14.6662172865,42.2355183894
-100,-20,2.617993878,0,0,0,5,0.0286431862,-0.0112870865,0.0435214741,-0.0129851995,-0.0032776588,6.7714634316123E-05,-4.63095611152722E-07,0.000000001,-0.0010907905,2.86015236976237E-05,-2.23721060892026E-07,5.40885847591106E-10,131.6570198852,35.5230850147,22.6131468044
-90,-95,5.235987756,0,0,0,5,0.0408941475,0.024854617,-0.0507904548,0.0141339401,-0.0038284806,9.24731083672602E-05,-7.40139785373216E-07,0.000000002,-0.0023340362,0.0001054178,-1.14888676868708E-06,3.5668899556414E-09,102.3690827435,2.0951265511,107.5849072053
-95,-100,4.1887902048,0,0,0,5,0.0446866597,0.0446391405,-0.0524533444,0.0141414331,-0.0040754855,0.0001047768,-8.94104306929565E-07,2.52748060579459E-09,0.0039344529,-0.0001619313,0.000001765,-5.65023233846754E-09,108.3374346028,54.4200353097,30.4539208732
-100,-20,2.0943951024,0,0,0,5,0.0408557881,-0.0250696382,0.0521347516,-0.0141066049,-0.0033097379,6.89269473219669E-05,-4.73726697598526E-07,1.08041126383206E-09,-0.00357081,0.0001137614,-9.8719601588773E-07,2.54435936017888E-09,137.7585259709,14.8383482503,40.4314999162
-90,-95,4.7123889804,0,0,0,5,0.0445563558,0.04413132,-0.044727547,0.014141275,-0.0039294795,9.74768935371366E-05,-8.02770014555611E-07,2.18382407010066E-09,0.005708903,-0.000195763,1.90870963714921E-06,-5.61644275326123E-09,135.4195488573,16.1170440631,42.2260109573
-90,-95,4.1887902048,0,0,0,5,0.0091600425,0.0029197515,-0.0441992209,0.013484199,-0.003950574,9.86151149552809E-05,-8.12867085635227E-07,2.20342730956975E-09,0.0029595792,-0.0001039677,1.04378642413486E-06,-3.18067230618198E-09,107.2289297651,43.2629407203,36.9679794105
-90,-95,3.6651914292,0,0,0,5,0.0280495904,0.0165168093,-0.0444502583,0.0009641316,-0.004037151,0.0001027162,-8.64688992825969E-07,2.41159389694487E-09,-7.38050809880434E-08,2.27302975747309E-09,-2.13363639545033E-11,6.25909224241369E-14,110.61692081,74.6263372896,0.008000034
