"Feature","Gain","Cover","Frequency"
"payload",0.401309773957041,0.0845312852491929,0.041458184417441
"linear_acceleration_z",0.115544728599124,0.127838991794945,0.0900643316654753
"velocity_z",0.106088611308016,0.0554242351160066,0.0836311651179414
"wind_speed",0.0844706294682514,0.0810050029768901,0.111508220157255
"orientation_x",0.081683078371864,0.10634710491257,0.089349535382416
"orientation_y",0.0670976498876392,0.100902250658956,0.0814867762687634
"velocity_y",0.0464772103346246,0.0564392086937788,0.0757684060042888
"linear_acceleration_x",0.035673605257548,0.0609429105553392,0.052180128663331
"wind_angle",0.0183858265163586,0.0238563320528405,0.0400285918513224
"position_z",0.00911721385842295,0.0446541304748145,0.0629020729092209
"linear_acceleration_y",0.00593849687459246,0.0505646677311817,0.045746962115797
"orientation_z",0.00565824387278935,0.0329825607946248,0.0443173695496783
"position_y",0.00452985219029742,0.0330471712635932,0.0378842030021444
"angular_y",0.00436937158593935,0.0292277376129574,0.0264474624731951
"position_x",0.00354364458030783,0.0384155291600795,0.0343102215868477
"orientation_w",0.00351318362889447,0.0116387565017671,0.0214438884917798
"velocity_x",0.00327266369341219,0.0294009803588915,0.0314510364546104
"angular_z",0.0016842855591707,0.0136909177388855,0.0150107219442459
"angular_x",0.0016419304557074,0.0190902263526869,0.0150107219442459
