"Feature","Gain","Cover","Frequency"
"payload",0.305001699440424,0.0699853410634383,0.0340057636887608
"position_z",0.16758798513432,0.147354846006863,0.127953890489914
"velocity_z",0.137563120421451,0.173377980078108,0.150432276657061
"linear_acceleration_z",0.131075759306266,0.107311681891221,0.0979827089337176
"wind_speed",0.10108993764721,0.113628662392808,0.118731988472622
"orientation_x",0.0347278305101595,0.0659254828189513,0.0708933717579251
"velocity_y",0.0256966483528304,0.010095053211336,0.0276657060518732
"orientation_y",0.0188021203119282,0.0520867222459953,0.0518731988472622
"velocity_x",0.0179565136898404,0.0139194107818545,0.022478386167147
"orientation_w",0.0130743982779942,0.0161227662330217,0.0340057636887608
"linear_acceleration_y",0.0104583731380352,0.0150614652115092,0.0265129682997118
"linear_acceleration_x",0.00852994651262763,0.0609867798156934,0.0461095100864553
"orientation_z",0.00756953274318423,0.0275229286789511,0.037463976945245
"position_y",0.00592877459726344,0.0385843396076581,0.0414985590778098
"angular_y",0.00528375326111846,0.0302437767373115,0.0345821325648415
"position_x",0.0039799615186596,0.0230919143547413,0.0253602305475504
"angular_x",0.0023155011025992,0.0165744177227776,0.0219020172910663
"wind_angle",0.00201074745430917,0.00815676501743783,0.0195965417867435
"angular_z",0.00134739657977933,0.009969666130323,0.0109510086455331
