"Feature","Gain","Cover","Frequency"
"linear_acceleration_z",0.44952402269339,0.211234183775788,0.175257731958763
"payload",0.326790576893464,0.114744998421868,0.0549828178694158
"velocity_z",0.102480596782539,0.156540193285197,0.154639175257732
"position_z",0.0323467712525322,0.0647321787443824,0.0836197021764032
"wind_speed",0.0320171342428285,0.116142554813641,0.105956471935853
"orientation_w",0.0171435165504749,0.0484836817775266,0.0595647193585338
"position_x",0.0073889929214199,0.0262437837256944,0.0446735395189003
"velocity_y",0.00464476508828612,0.0237652281267955,0.0337915234822451
"orientation_y",0.0037852222077611,0.0307177242406985,0.0332187857961054
"position_y",0.00343920531852507,0.0316312637663451,0.0372279495990836
"velocity_x",0.00342349797468903,0.0216715167074668,0.0332187857961054
"angular_z",0.00334672847937555,0.0232680108006841,0.0257731958762887
"wind_angle",0.00324190129467122,0.0393782414110276,0.0320733104238259
"linear_acceleration_y",0.00268932847159747,0.0177544494435075,0.0229095074455899
"linear_acceleration_x",0.00253469002143193,0.0286147894230468,0.0280641466208477
"orientation_x",0.00211251914336932,0.0166306333597625,0.0309278350515464
"orientation_z",0.00134689928094882,0.00805354986600687,0.0154639175257732
"angular_y",0.0011564701169253,0.00759187223985574,0.0189003436426117
"angular_x",0.000587161265770623,0.0128011460707054,0.00973654066437572
