subregion,Medium duty e-truck,Small electric van,Electric cargo bicycle,Quad-copter drone
AKGD,353.56870980012116,93.70330925153768,22.38526793749479,66.71248401541492
AKMS,399.0868213247214,105.63821124873373,24.920030505781632,74.89795059895091
AZNM,365.2561379382398,96.76776655777567,23.03610459068139,68.81421998968409
CAMX,282.01739189334586,74.94247013970278,18.400796783772442,53.84549761995915
ERCT,348.74729762206357,92.43912934806988,22.116778435055352,65.84545533282964
FRCC,283.03741135101177,75.20992043266797,18.457598506287198,54.028926477300224
HIMS,405.7083886745432,107.37439394043534,25.288765070980965,76.08869899463744
HIOA,454.5894374757722,120.19106201875694,28.010799194320967,84.87891849472392
MROE,425.4792827139156,112.55834544574618,26.389744889211833,79.6440748014402
MROW,467.4860987950752,123.57258167722794,28.728974295903882,87.19810939989326
NEWE,253.94779848917565,67.58258996983112,16.837688115929996,48.797776808890305
NWPP,431.26137108291425,114.07441576834361,26.711731471549363,80.68386071395355
NYCW,273.23070828140317,72.63859143567903,17.91149360372081,52.26539900258155
NYLI,339.70110133986657,90.06720611885,21.61302379863779,64.21868886788057
NYUP,252.4808785844047,67.1979618577506,16.755999892479014,48.53398238818511
PRMS,434.6877600062718,114.9728189453394,26.902536452169556,81.30002406289177
RFCE,334.3154716412563,88.65508772260758,21.31311477101231,63.250197635430204
RFCM,447.864704139183,118.42782908484901,27.636319635034226,83.66961788522714
RFCW,467.40872430499945,123.55229399557317,28.724665550338315,87.18419523953553
RMPA,430.56819607890145,113.8926644728109,26.67313070375402,80.55920789682553
SPNO,504.314301881161,133.22897953388588,30.779822793637024,93.820880327679
SPSO,398.6335300642776,105.51935775089784,24.894788120255953,74.81643578340399
SRMV,311.94397305933563,82.78925466928916,20.06731534518842,59.22715827961319
SRMW,480.5183366545114,126.98964966284632,29.45469923484948,89.54168086922925
SRSO,358.09203618455336,94.88933071181623,22.637157965867473,67.52590829261028
SRTV,398.6595498043031,105.52618015711802,24.896237078941716,74.82111488157737
SRVC,355.3613329418775,94.17333713270764,22.485093564845627,67.03484925272906
US,372.61264882211475,98.69665230236336,23.44576588367162,70.13713238640848
