rx_id,x_m,y_m,z_m
rx_0000,-120.0,-120.0,55.0
rx_0001,-90.0,-120.0,55.0
rx_0002,-60.0,-120.0,55.0
rx_0003,-30.0,-120.0,55.0
rx_0004,0.0,-120.0,55.0
rx_0005,30.0,-120.0,55.0
rx_0006,60.0,-120.0,55.0
rx_0007,90.0,-120.0,55.0
rx_0008,120.0,-120.0,55.0
rx_0009,-120.0,-90.0,55.0
rx_0010,-90.0,-90.0,55.0
rx_0011,-60.0,-90.0,55.0
rx_0012,-30.0,-90.0,55.0
rx_0013,0.0,-90.0,55.0
rx_0014,30.0,-90.0,55.0
rx_0015,60.0,-90.0,55.0
rx_0016,90.0,-90.0,55.0
rx_0017,120.0,-90.0,55.0
rx_0018,-120.0,-60.0,55.0
rx_0019,-90.0,-60.0,55.0
rx_0020,-60.0,-60.0,55.0
rx_0021,-30.0,-60.0,55.0
rx_0022,0.0,-60.0,55.0
rx_0023,30.0,-60.0,55.0
rx_0024,60.0,-60.0,55.0
rx_0025,90.0,-60.0,55.0
rx_0026,120.0,-60.0,55.0
rx_0027,-120.0,-30.0,55.0
rx_0028,-90.0,-30.0,55.0
rx_0029,-60.0,-30.0,55.0
rx_0030,-30.0,-30.0,55.0
rx_0031,0.0,-30.0,55.0
rx_0032,30.0,-30.0,55.0
rx_0033,60.0,-30.0,55.0
rx_0034,90.0,-30.0,55.0
rx_0035,120.0,-30.0,55.0
rx_0036,-120.0,0.0,55.0
rx_0037,-90.0,0.0,55.0
rx_0038,-60.0,0.0,55.0
rx_0039,-30.0,0.0,55.0
rx_0040,0.0,0.0,55.0
rx_0041,30.0,0.0,55.0
rx_0042,60.0,0.0,55.0
rx_0043,90.0,0.0,55.0
rx_0044,120.0,0.0,55.0
rx_0045,-120.0,30.0,55.0
rx_0046,-90.0,30.0,55.0
rx_0047,-60.0,30.0,55.0
rx_0048,-30.0,30.0,55.0
rx_0049,0.0,30.0,55.0
rx_0050,30.0,30.0,55.0
rx_0051,60.0,30.0,55.0
rx_0052,90.0,30.0,55.0
rx_0053,120.0,30.0,55.0
rx_0054,-120.0,60.0,55.0
rx_0055,-90.0,60.0,55.0
rx_0056,-60.0,60.0,55.0
rx_0057,-30.0,60.0,55.0
rx_0058,0.0,60.0,55.0
rx_0059,30.0,60.0,55.0
rx_0060,60.0,60.0,55.0
rx_0061,90.0,60.0,55.0
rx_0062,120.0,60.0,55.0
rx_0063,-120.0,90.0,55.0
rx_0064,-90.0,90.0,55.0
rx_0065,-60.0,90.0,55.0
rx_0066,-30.0,90.0,55.0
rx_0067,0.0,90.0,55.0
rx_0068,30.0,90.0,55.0
rx_0069,60.0,90.0,55.0
rx_0070,90.0,90.0,55.0
rx_0071,120.0,90.0,55.0
rx_0072,-120.0,120.0,55.0
rx_0073,-90.0,120.0,55.0
rx_0074,-60.0,120.0,55.0
rx_0075,-30.0,120.0,55.0
rx_0076,0.0,120.0,55.0
rx_0077,30.0,120.0,55.0
rx_0078,60.0,120.0,55.0
rx_0079,90.0,120.0,55.0
rx_0080,120.0,120.0,55.0
rx_0081,-120.0,-120.0,95.0
rx_0082,-90.0,-120.0,95.0
rx_0083,-60.0,-120.0,95.0
rx_0084,-30.0,-120.0,95.0
rx_0085,0.0,-120.0,95.0
rx_0086,30.0,-120.0,95.0
rx_0087,60.0,-120.0,95.0
rx_0088,90.0,-120.0,95.0
rx_0089,120.0,-120.0,95.0
rx_0090,-120.0,-90.0,95.0
rx_0091,-90.0,-90.0,95.0
rx_0092,-60.0,-90.0,95.0
rx_0093,-30.0,-90.0,95.0
rx_0094,0.0,-90.0,95.0
rx_0095,30.0,-90.0,95.0
rx_0096,60.0,-90.0,95.0
rx_0097,90.0,-90.0,95.0
rx_0098,120.0,-90.0,95.0
rx_0099,-120.0,-60.0,95.0
rx_0100,-90.0,-60.0,95.0
rx_0101,-60.0,-60.0,95.0
rx_0102,-30.0,-60.0,95.0
rx_0103,0.0,-60.0,95.0
rx_0104,30.0,-60.0,95.0
rx_0105,60.0,-60.0,95.0
rx_0106,90.0,-60.0,95.0
rx_0107,120.0,-60.0,95.0
rx_0108,-120.0,-30.0,95.0
rx_0109,-90.0,-30.0,95.0
rx_0110,-60.0,-30.0,95.0
rx_0111,-30.0,-30.0,95.0
rx_0112,0.0,-30.0,95.0
rx_0113,30.0,-30.0,95.0
rx_0114,60.0,-30.0,95.0
rx_0115,90.0,-30.0,95.0
rx_0116,120.0,-30.0,95.0
rx_0117,-120.0,0.0,95.0
rx_0118,-90.0,0.0,95.0
rx_0119,-60.0,0.0,95.0
rx_0120,-30.0,0.0,95.0
rx_0121,0.0,0.0,95.0
rx_0122,30.0,0.0,95.0
rx_0123,60.0,0.0,95.0
rx_0124,90.0,0.0,95.0
rx_0125,120.0,0.0,95.0
rx_0126,-120.0,30.0,95.0
rx_0127,-90.0,30.0,95.0
rx_0128,-60.0,30.0,95.0
rx_0129,-30.0,30.0,95.0
rx_0130,0.0,30.0,95.0
rx_0131,30.0,30.0,95.0
rx_0132,60.0,30.0,95.0
rx_0133,90.0,30.0,95.0
rx_0134,120.0,30.0,95.0
rx_0135,-120.0,60.0,95.0
rx_0136,-90.0,60.0,95.0
rx_0137,-60.0,60.0,95.0
rx_0138,-30.0,60.0,95.0
rx_0139,0.0,60.0,95.0
rx_0140,30.0,60.0,95.0
rx_0141,60.0,60.0,95.0
rx_0142,90.0,60.0,95.0
rx_0143,120.0,60.0,95.0
rx_0144,-120.0,90.0,95.0
rx_0145,-90.0,90.0,95.0
rx_0146,-60.0,90.0,95.0
rx_0147,-30.0,90.0,95.0
rx_0148,0.0,90.0,95.0
rx_0149,30.0,90.0,95.0
rx_0150,60.0,90.0,95.0
rx_0151,90.0,90.0,95.0
rx_0152,120.0,90.0,95.0
rx_0153,-120.0,120.0,95.0
rx_0154,-90.0,120.0,95.0
rx_0155,-60.0,120.0,95.0
rx_0156,-30.0,120.0,95.0
rx_0157,0.0,120.0,95.0
rx_0158,30.0,120.0,95.0
rx_0159,60.0,120.0,95.0
rx_0160,90.0,120.0,95.0
rx_0161,120.0,120.0,95.0
rx_0162,-120.0,-120.0,135.0
rx_0163,-90.0,-120.0,135.0
rx_0164,-60.0,-120.0,135.0
rx_0165,-30.0,-120.0,135.0
rx_0166,0.0,-120.0,135.0
rx_0167,30.0,-120.0,135.0
rx_0168,60.0,-120.0,135.0
rx_0169,90.0,-120.0,135.0
rx_0170,120.0,-120.0,135.0
rx_0171,-120.0,-90.0,135.0
rx_0172,-90.0,-90.0,135.0
rx_0173,-60.0,-90.0,135.0
rx_0174,-30.0,-90.0,135.0
rx_0175,0.0,-90.0,135.0
rx_0176,30.0,-90.0,135.0
rx_0177,60.0,-90.0,135.0
rx_0178,90.0,-90.0,135.0
rx_0179,120.0,-90.0,135.0
rx_0180,-120.0,-60.0,135.0
rx_0181,-90.0,-60.0,135.0
rx_0182,-60.0,-60.0,135.0
rx_0183,-30.0,-60.0,135.0
rx_0184,0.0,-60.0,135.0
rx_0185,30.0,-60.0,135.0
rx_0186,60.0,-60.0,135.0
rx_0187,90.0,-60.0,135.0
rx_0188,120.0,-60.0,135.0
rx_0189,-120.0,-30.0,135.0
rx_0190,-90.0,-30.0,135.0
rx_0191,-60.0,-30.0,135.0
rx_0192,-30.0,-30.0,135.0
rx_0193,0.0,-30.0,135.0
rx_0194,30.0,-30.0,135.0
rx_0195,60.0,-30.0,135.0
rx_0196,90.0,-30.0,135.0
rx_0197,120.0,-30.0,135.0
rx_0198,-120.0,0.0,135.0
rx_0199,-90.0,0.0,135.0
rx_0200,-60.0,0.0,135.0
rx_0201,-30.0,0.0,135.0
rx_0202,0.0,0.0,135.0
rx_0203,30.0,0.0,135.0
rx_0204,60.0,0.0,135.0
rx_0205,90.0,0.0,135.0
rx_0206,120.0,0.0,135.0
rx_0207,-120.0,30.0,135.0
rx_0208,-90.0,30.0,135.0
rx_0209,-60.0,30.0,135.0
rx_0210,-30.0,30.0,135.0
rx_0211,0.0,30.0,135.0
rx_0212,30.0,30.0,135.0
rx_0213,60.0,30.0,135.0
rx_0214,90.0,30.0,135.0
rx_0215,120.0,30.0,135.0
rx_0216,-120.0,60.0,135.0
rx_0217,-90.0,60.0,135.0
rx_0218,-60.0,60.0,135.0
rx_0219,-30.0,60.0,135.0
rx_0220,0.0,60.0,135.0
rx_0221,30.0,60.0,135.0
rx_0222,60.0,60.0,135.0
rx_0223,90.0,60.0,135.0
rx_0224,120.0,60.0,135.0
rx_0225,-120.0,90.0,135.0
rx_0226,-90.0,90.0,135.0
rx_0227,-60.0,90.0,135.0
rx_0228,-30.0,90.0,135.0
rx_0229,0.0,90.0,135.0
rx_0230,30.0,90.0,135.0
rx_0231,60.0,90.0,135.0
rx_0232,90.0,90.0,135.0
rx_0233,120.0,90.0,135.0
rx_0234,-120.0,120.0,135.0
rx_0235,-90.0,120.0,135.0
rx_0236,-60.0,120.0,135.0
rx_0237,-30.0,120.0,135.0
rx_0238,0.0,120.0,135.0
rx_0239,30.0,120.0,135.0
rx_0240,60.0,120.0,135.0
rx_0241,90.0,120.0,135.0
rx_0242,120.0,120.0,135.0
rx_0243,-120.0,-120.0,175.0
rx_0244,-90.0,-120.0,175.0
rx_0245,-60.0,-120.0,175.0
rx_0246,-30.0,-120.0,175.0
rx_0247,0.0,-120.0,175.0
rx_0248,30.0,-120.0,175.0
rx_0249,60.0,-120.0,175.0
rx_0250,90.0,-120.0,175.0
rx_0251,120.0,-120.0,175.0
rx_0252,-120.0,-90.0,175.0
rx_0253,-90.0,-90.0,175.0
rx_0254,-60.0,-90.0,175.0
rx_0255,-30.0,-90.0,175.0
rx_0256,0.0,-90.0,175.0
rx_0257,30.0,-90.0,175.0
rx_0258,60.0,-90.0,175.0
rx_0259,90.0,-90.0,175.0
rx_0260,120.0,-90.0,175.0
rx_0261,-120.0,-60.0,175.0
rx_0262,-90.0,-60.0,175.0
rx_0263,-60.0,-60.0,175.0
rx_0264,-30.0,-60.0,175.0
rx_0265,0.0,-60.0,175.0
rx_0266,30.0,-60.0,175.0
rx_0267,60.0,-60.0,175.0
rx_0268,90.0,-60.0,175.0
rx_0269,120.0,-60.0,175.0
rx_0270,-120.0,-30.0,175.0
rx_0271,-90.0,-30.0,175.0
rx_0272,-60.0,-30.0,175.0
rx_0273,-30.0,-30.0,175.0
rx_0274,0.0,-30.0,175.0
rx_0275,30.0,-30.0,175.0
rx_0276,60.0,-30.0,175.0
rx_0277,90.0,-30.0,175.0
rx_0278,120.0,-30.0,175.0
rx_0279,-120.0,0.0,175.0
rx_0280,-90.0,0.0,175.0
rx_0281,-60.0,0.0,175.0
rx_0282,-30.0,0.0,175.0
rx_0283,0.0,0.0,175.0
rx_0284,30.0,0.0,175.0
rx_0285,60.0,0.0,175.0
rx_0286,90.0,0.0,175.0
rx_0287,120.0,0.0,175.0
rx_0288,-120.0,30.0,175.0
rx_0289,-90.0,30.0,175.0
rx_0290,-60.0,30.0,175.0
rx_0291,-30.0,30.0,175.0
rx_0292,0.0,30.0,175.0
rx_0293,30.0,30.0,175.0
rx_0294,60.0,30.0,175.0
rx_0295,90.0,30.0,175.0
rx_0296,120.0,30.0,175.0
rx_0297,-120.0,60.0,175.0
rx_0298,-90.0,60.0,175.0
rx_0299,-60.0,60.0,175.0
rx_0300,-30.0,60.0,175.0
rx_0301,0.0,60.0,175.0
rx_0302,30.0,60.0,175.0
rx_0303,60.0,60.0,175.0
rx_0304,90.0,60.0,175.0
rx_0305,120.0,60.0,175.0
rx_0306,-120.0,90.0,175.0
rx_0307,-90.0,90.0,175.0
rx_0308,-60.0,90.0,175.0
rx_0309,-30.0,90.0,175.0
rx_0310,0.0,90.0,175.0
rx_0311,30.0,90.0,175.0
rx_0312,60.0,90.0,175.0
rx_0313,90.0,90.0,175.0
rx_0314,120.0,90.0,175.0
rx_0315,-120.0,120.0,175.0
rx_0316,-90.0,120.0,175.0
rx_0317,-60.0,120.0,175.0
rx_0318,-30.0,120.0,175.0
rx_0319,0.0,120.0,175.0
rx_0320,30.0,120.0,175.0
rx_0321,60.0,120.0,175.0
rx_0322,90.0,120.0,175.0
rx_0323,120.0,120.0,175.0
rx_0324,-120.0,-120.0,215.0
rx_0325,-90.0,-120.0,215.0
rx_0326,-60.0,-120.0,215.0
rx_0327,-30.0,-120.0,215.0
rx_0328,0.0,-120.0,215.0
rx_0329,30.0,-120.0,215.0
rx_0330,60.0,-120.0,215.0
rx_0331,90.0,-120.0,215.0
rx_0332,120.0,-120.0,215.0
rx_0333,-120.0,-90.0,215.0
rx_0334,-90.0,-90.0,215.0
rx_0335,-60.0,-90.0,215.0
rx_0336,-30.0,-90.0,215.0
rx_0337,0.0,-90.0,215.0
rx_0338,30.0,-90.0,215.0
rx_0339,60.0,-90.0,215.0
rx_0340,90.0,-90.0,215.0
rx_0341,120.0,-90.0,215.0
rx_0342,-120.0,-60.0,215.0
rx_0343,-90.0,-60.0,215.0
rx_0344,-60.0,-60.0,215.0
rx_0345,-30.0,-60.0,215.0
rx_0346,0.0,-60.0,215.0
rx_0347,30.0,-60.0,215.0
